city,region,m_cr
alexandria,__other__,10869.565217391304
alexandria,agami,2791.4438502673793
alexandria,al ibrahimiyyah,11538.461538461539
alexandria,bolkly,11428.57142857143
alexandria,cleopatra,13822.751322751323
alexandria,gianaclis,12727.272727272728
alexandria,glim,16566.193853427896
alexandria,kafr abdo,16666.666666666668
alexandria,laurent,13571.42857142857
alexandria,mandara,5862.068965517241
alexandria,miami,8190.140845070423
alexandria,moharam bik,10622.605363984674
alexandria,nakheel,2750.0
alexandria,roushdy,14000.0
alexandria,saba pasha,15500.0
alexandria,seyouf,7586.206896551724
alexandria,sidi beshr,9183.333333333332
alexandria,sidi gaber,12222.222222222223
alexandria,smoha,15500.0
alexandria,sporting,14838.709677419354
aswan,__other__,6666.666666666667
asyut,__other__,15500.0
beheira,__other__,4884.219554030875
beni suef,__other__,6046.319272125724
cairo,__other__,6400.0
cairo,badr city,4333.333333333333
cairo,gesr al suez,3333.3333333333335
cairo,heliopolis,11300.675675675677
cairo,katameya,9803.921568627451
cairo,maadi,10175.438596491229
cairo,madinaty,19396.55172413793
cairo,mokattam,8250.0
cairo,mostakbal city,15216.346153846154
cairo,nasr city,9000.0
cairo,new cairo - el tagamoa,11538.461538461539
cairo,new capital city,12126.0
cairo,new heliopolis,6000.0
cairo,new nozha,7083.333333333333
cairo,obour city,6921.0526315789475
cairo,rehab city,20220.58823529412
cairo,sheraton,19946.666666666668
cairo,shorouk city,6521.739130434783
cairo,zahraa al maadi,10000.0
dakahlia,__other__,8099.5
dakahlia,mansura,9411.764705882353
damietta,__other__,8000.0
damietta,new damietta,6713.138686131387
gharbia,__other__,5357.142857142857
gharbia,tanta,7857.142857142857
giza,6th of october,8000.0
giza,__other__,4583.333333333333
giza,dokki,15000.0
giza,faisal,4045.4545454545455
giza,hadayek 6th of october,5036.231884057971
giza,hadayek al-ahram,6086.95652173913
giza,haram,2911.764705882353
giza,mohandessin,11659.03890160183
giza,sheikh zayed,12738.853503184713
giza,west somid,6536.585365853658
ismailia,ismailia city,6833.333333333333
kafr al-sheikh,__other__,8892.592592592591
matruh,__other__,5951.963241436926
minya,__other__,8500.0
monufia,__other__,5300.0
port said,__other__,6603.773584905661
qalyubia,__other__,4490.0
qena,__other__,5769.2307692307695
red sea,hurghada,8450.704225352112
sharqia,10th of ramadan,3809.5238095238096
sharqia,__other__,9090.90909090909
south sinai,__other__,9642.857142857143
suez,__other__,4954.545454545454
