city,region,m_cr
alexandria,__other__,10651.26050420168
alexandria,agami,3282.1969696969695
alexandria,al ibrahimiyyah,14838.709677419354
alexandria,bolkly,11428.57142857143
alexandria,cleopatra,12258.064516129032
alexandria,gianaclis,12727.272727272728
alexandria,glim,14687.5
alexandria,kafr abdo,16666.666666666668
alexandria,laurent,13473.61237488626
alexandria,mandara,5862.068965517241
alexandria,miami,8750.0
alexandria,moharam bik,10500.0
alexandria,nakheel,2833.3333333333335
alexandria,roushdy,14000.0
alexandria,saba pasha,15500.0
alexandria,seyouf,7391.304347826087
alexandria,sidi beshr,8989.89898989899
alexandria,sidi gaber,12222.222222222223
alexandria,smoha,14880.952380952382
alexandria,sporting,12666.666666666666
aswan,__other__,5769.2307692307695
asyut,__other__,11000.0
beheira,__other__,6132.075471698113
beni suef,__other__,5093.240093240092
cairo,__other__,6428.571428571428
cairo,badr city,4558.823529411765
cairo,gesr al suez,4444.444444444444
cairo,heliopolis,11250.0
cairo,katameya,10000.0
cairo,maadi,10000.0
cairo,madinaty,19463.087248322146
cairo,mokattam,7189.189189189189
cairo,mostakbal city,16312.056737588653
cairo,nasr city,9000.0
cairo,new cairo - el tagamoa,11425.531914893618
cairo,new capital city,12679.10447761194
cairo,new heliopolis,6000.0
cairo,new nozha,7125.0
cairo,obour city,6857.142857142857
cairo,rehab city,20202.0202020202
cairo,sheraton,19333.333333333332
cairo,shorouk city,6664.0245398773
cairo,zahraa al maadi,9956.709956709956
dakahlia,__other__,8106.944444444444
dakahlia,mansura,9250.0
damietta,__other__,8000.0
damietta,new damietta,6713.138686131387
gharbia,__other__,5405.8441558441555
gharbia,tanta,7885.714285714285
giza,6th of october,8442.477876106195
giza,__other__,4583.333333333333
giza,dokki,15000.0
giza,faisal,4000.0
giza,hadayek 6th of october,5036.231884057971
giza,hadayek al-ahram,6153.846153846154
giza,haram,3000.0
giza,mohandessin,12000.0
giza,sheikh zayed,12445.414847161572
giza,west somid,6536.585365853658
ismailia,ismailia city,6833.333333333333
kafr al-sheikh,__other__,12785.185185185184
matruh,__other__,5951.963241436926
minya,__other__,8500.0
monufia,__other__,5300.0
port said,__other__,6666.666666666667
qalyubia,__other__,4500.0
qena,__other__,5769.2307692307695
red sea,hurghada,10625.0
sharqia,10th of ramadan,3809.5238095238096
sharqia,__other__,9090.90909090909
south sinai,__other__,9642.857142857143
suez,__other__,13068.711656441717
